index,pureTitle,caption,tagList,audioUrl,videoUrl
0,王者正在核查妲己0-70事件！#妲己0杠70 #王者策划将直播回应举报机制 ,王者正在核查妲己0-70事件！表明情况属实将严办！ #妲己0杠70  #王者荣耀联动名侦探柯南  #王者柯南基德新皮肤  #王者策划将直播回应举报机制,#妲己0杠70 | #王者荣耀联动名侦探柯南 | #王者柯南基德新皮肤 | #王者策划将直播回应举报机制,http://ali2.a.yximgs.com/bs2/ost/MTQ5MTgwODc1ODkxXzI4NTYwNzExNzM.m4a,http://v1.oskwai.com/ksc2/pQh51DDiCbOFj1gIRrEtJ07An2a1g6Y_pE93KjqmbLIs8oNuNXDOOQsCA1IfJc8OfEJxA_YlyVNbtZXzCo89F7klMO69CARwBZD5Ci32_niUSMYEVN_974vXvGqapp_K.mp4?pkey=AAXTxXnIZ3GiCy6cbvYuqmJN9oQJPaig_YFk8S1SjQw1itj1UjNJhg6DeVVWRvTwN51JfPyVE_G8Bw1mOCJMnNXUaOqaSim2RCGjpyWoblUJqPfoSuYu7bIzdBbsvN-XMg8&tag=1-1732284375-scn-0-4rvhqbq7yg-3945c5cbc610e102&type=hot&clientCacheKey=3xndcku8yaaam5g_00668fff&di=6766caa1&bp=10121&tt=v6UltraHQvG&ss=vp
1,最惨0-70妲己事件#王者策划将直播回应举报机制 ,最惨0-70妲己事件，小王终于出手了！ #王者荣耀联动名侦探柯南 #王者柯南基德新皮肤 #王者策划将直播回应举报机制,#王者荣耀联动名侦探柯南 | #王者柯南基德新皮肤 | #王者策划将直播回应举报机制,http://ali2.a.yximgs.com/bs2/ost/MTQ5MTc5NDA3ODg3XzExNTQxNzM3NTg.m4a,http://v1.oskwai.com/ksc2/mDVOpXxyUTSgbsC3pA9XW1atJ5oQLnE5LQEcUKmKmBowVLY0zqTGJyDaR2A1PsQDA91GBPWfsyFlsHN168pIrZ3ODjwT3h0mpiRuH29ohiKT5VD2YMqrcRTZop-FuprG.mp4?pkey=AAWmcoZ7fHgzy25fHeYeACinuJs2Si2LysJjrAegsz-diXJtw0zU5lXnSco8k2bff8OESFEkdgoGmZR4z-TVkskucPWCWHpHhRB_sx_dVrd-gTQW05gAq7SLtCylMo_ePzg&tag=1-1732284375-scn-0-eo77m8zevo-dd8eeeedbcf9d17c&type=hot&clientCacheKey=3xb4k5abi7nmwgy_f615b181&di=6766caa1&bp=10121&tt=v6UltraHQv7&ss=vp
2,妲己0-70被折磨60分钟，钟馗恶意泉水钩事件官方回应来了 ,妲己0-70被折磨60分钟，钟馗恶意泉水钩事件官方回应来了 #王者荣耀联动名侦探柯南 #王者柯南基德新皮肤 ,#王者荣耀联动名侦探柯南 | #王者柯南基德新皮肤,http://ali2.a.yximgs.com/bs2/ost/MTQ5MTg3Nzk3MTM3XzEzMzI5NTg4MTU.m4a,http://v1.oskwai.com/ksc2/zKNAnPL7aB3KuKpSJpj10I0xXHyA6_l9oBU0YAQEjhOmjV1d3993JRGeT5oC24zgxf7ap6-rt0ZK9BzC8dDE2i_4dXJEDYSUaVnNZps3pt7CREKFjAfpKCOtZEtL_R3v.mp4?pkey=AAWQLeCHs2ZXlNSBLScVsVB4vY1g9Y_7xoGD6vPmuEB5lcEu8ZqaD_IWFoDeKyEGTHzGBOikw6gUTyR3a5f8K1q0XycN4TjaAtdqqzAbk6CfXQWit2FOrf4t78GYyrRN2hc&tag=1-1732284375-scn-0-2kjaeflrvj-5e15644f5c852258&type=hot&clientCacheKey=3xcbi2c6zkx2jry_f02c6cbd&di=6766caa1&bp=10121&tt=v6UltraHQvG&ss=vp
3,妲己0-70事件官方给出回应#王者策划将直播回应举报机制 ,妲己0-70事件官方给出回应，是噱头还是真的要改？ #王者策划将直播回应举报机制 #王者荣耀联动名侦探柯南 #王者柯南基德新皮肤 #用柯南的方式打开王者荣耀,#王者策划将直播回应举报机制 | #王者荣耀联动名侦探柯南 | #王者柯南基德新皮肤 | #用柯南的方式打开王者荣耀,http://ali2.a.yximgs.com/bs2/ost/MTQ5MTc3NTg5NDI0XzIwODA5NTA2Mjc.m4a,http://v5.oskwai.com/ksc2/1JNz9cHWI4B_fL6ryE7BgX42t_C-svCSL6Ww-kkyqNoEN8vdza2Qg1_LoG7Mw6V1Cqlai8YGoYs3Z2JsnjSXubKWUxTLFaiOr1x1lQxxRof8aGV-bJKji-Qf3yfFc7m2.mp4?pkey=AAXeQ1uv54CC0VV04LHo0v5v28eTqkQv3M7Uupe7VPNpw8B1ndJa-SE7S40wYchOlx5af8otCZrHUt_hv3_TeTn4wkcbs4hWiYKMZOKevr-BSyO1GPHgN6nAmScnbFdYfas&tag=1-1732284375-scn-0-guf2359i04-b4dec34ec16be19a&clientCacheKey=3xsr837xmsr77r2_ccf1b521&di=6766caa1&bp=10121&tt=v6UltraHQvG&ss=vp
4,妲己的队友看到这种情况选择袖手旁观，这样成为本周日官方出手的导火索,妲己的队友看到这种情况选择袖手旁观，这样成为本周日官方出手的导火索 #王者策划将直播回应举报机制 #王者策划表示将优化举报机制 #2024年王者荣耀挑战者杯 @快手热点(O40300129),#王者策划将直播回应举报机制 | #王者策划表示将优化举报机制 | #2024年王者荣耀挑战者杯,,http://v5.oskwai.com/ksc2/fWCw96aKyg8_ltVzJ5VkmvaxPubcaa2SCsHG5h8Y4yVd9TVLytoHfa8GeHkcXU0flFlYN77CMfGiVtNt-KYHuWVENiHsAYsWfJLy4wIWfNz60ApnTZR4fWvbk0qOGORa.mp4?pkey=AAV3OIC2tQie7vIZqJUzTcPCdU5qZqSob9JwsGRI-69oYFstLQbH2rpo8Knt4nDXS1StAsBofZ_5VGyofCZnx-9Q0Qhptn4aW9H2z_MCSKx0zm4EhHqZfmedJG8IggcDP7w&tag=1-1732284391-scn-0-1jtynniei4-352aaa1fdd9bcdae&clientCacheKey=3xf8ke63a4srs3e_875715d7&di=6766caa1&bp=10121&tt=sl200UltraV1&ss=vp
5,王者荣耀：妲己新增狐狸形态，10V10模式优化，胜利加多颗星,王者荣耀：妲己新增狐狸形态，10V10模式优化，胜利加多颗星 #王者新模式10v10 #王者荣耀s36赛季  #王者新英雄元流之子,#王者新模式10v10 | #王者荣耀s36赛季 | #王者新英雄元流之子,http://hw.a.yximgs.com/bs2/ost/MTM2NTUzOTc5MzQ2XzYxMTc1MjA1NA.m4a,http://v5.oskwai.com/ksc2/xBuwFk40fAYQ7ZVnIRDUm1Mi24bSoJ1WvYL9R6PvtXBO7lxtgp-zQe5_zBa7n9tCtq66WLabDGbHPSrrwxOOmPySRYyANhCWSuTSY8lTtvVZ1MHQ9wp06AzrQnTnpPTRIHSLZEWjjkCNFEjTNrIifQ.mp4?pkey=AAUcJzSe-6ENTCyFWkoKvDuU3MsnWKQUKbsmSyKjcYE8f1fGabuONwer5_oQFmWi0OTiHS6C_TfjxLKC_Gr7LNZK33RyENRj254-c5vfFyqcIkft_X0xVeFxmUzeiuIVKOI&tag=1-1732284391-scn-0-h4jykpfzw7-af6ef702e51d52ed&clientCacheKey=3xd7yegy7w5bu2s_7a774658&di=6766caa1&bp=10121&tt=v6UltraHQv8&ss=vp
6,#王者变身大作战图鉴 如果这是妲己的新皮肤,#王者变身大作战图鉴 #王者蔬菜精灵皮肤，如果这是妲己的新皮肤，你觉得怎么样。,#王者变身大作战图鉴 | #王者蔬菜精灵皮肤，如果这是妲己的新皮肤，你觉得怎么样。,http://ali2.a.yximgs.com/bs2/ost/MTI3MzIzOTUzMjQ3XzEwNTg5MDUzOQ.m4a,http://v5.oskwai.com/ksc2/k18qctDAWR4_bKjMSC9XcXz8GAvpALDYoeJ3XjwoV1GiGQ3cNm_3tlVccscvZbi8ivp82fCjcf_9iKvPv-JsiduP21FzISmPfj3rfVW2km9q6g_eoxU4FgXaf-QEo3qsGQhwIFD4grTWMQOlkgE6ig.mp4?pkey=AAVq1aJXpgFw_8p1QHLsgnedPEDJa-vT9o22RWgHlLk3Q-_OXvaLTm7ffd8XCDfM8kpohnjiGsg9PFK4TfM6eHlO17cPe5AD1jfZjZMYjY0CJ6MifjAnBvaWsGtjXkeNr9o&tag=1-1732284391-scn-0-srprlyfaai-896f5f780fcb1c38&clientCacheKey=3xfjszizshnn8eu_5dd1813a&di=6766caa1&bp=10121&tt=v6UltraV5&ss=vp
7,大型纪录片之妲己重做！ #王者  #大型纪录片  #妲己 ,大型纪录片之妲己重做！ #王者  #大型纪录片  #妲己 ,#王者 | #大型纪录片 | #妲己,http://ali2.a.yximgs.com/bs2/ost/MTM2NjQ5NzIzODQ3XzI1MDE4NTYyOTk.m4a,http://v5.oskwai.com/ksc2/XpOkCijdSQFNJO6f5c9tzFzy51HOgoiXTK7lWWW-SlKN5WS3ymF6nnlD9unYLGZBao4B43_A1eJ7yE7Pcb5cAZ0sGQaERlw1SQH_-kpmedY8RPo1tZDlu3hL1uOB8WhWkmif93kwV9Ai6E4ZqGxWiw.mp4?pkey=AAVkxdy8beI_yk20tmrH1qrbhX9PYHhiiBiGEvBhUdwbEbvJZcr8Jl8BlV2WAX9Mp8JpMI6a2vNMuTJgNklOQuEc3s0QbsC_WpRPNQjkcZqe-7N8AGGNoM_9owFevopVhTA&tag=1-1732284391-scn-0-hhjvqmwsbo-aec22a933b1b20b2&clientCacheKey=3xaw3kiv7sn2z6g_0af82593&di=6766caa1&bp=10121&tt=v6UltraHQv7&ss=vp
8, #王者荣耀 竟然要给#妲己 做双形态！连招也从231变成1433223？啊这……, #王者荣耀 竟然要给#妲己 做双形态！连招也从231变成1433223？啊这……,#王者荣耀 | #妲己,http://hw.a.yximgs.com/bs2/ost/MTM2NzE1MjY3MTY0XzIxMjA4MjgxMTg.m4a,http://v5.oskwai.com/ksc2/um2q_0ohOMhnFOcHXX0Yhyk0JJsUHFwTnRDtrajFU4AlfsSr_H8k_M-a4rxGNfTETnysZlENnOEiqwpMh4L3z2qElmEgdFKW51JZAbOXgcCgrtvM3x37peC7VLEiMUWxSnPPgglM26W99eqPRxyyjg.mp4?pkey=AAUrjWnnFpdnhyFwXwG6WJ_pPv1-nPq2yx4aDKG4rkOxQhitDO8Wf0QCz7jZwmX-ToWoxT46nYVCXhMGdAEUPKuLcksCgZ3ewD3xnUzof0q-SYRkG16lAqvWOVChmVDwI3o&tag=1-1732284391-scn-0-q5wqaalcqc-d146817a3fb5f829&clientCacheKey=3xjx4txdcyi3pay_18566823&di=6766caa1&bp=10121&tt=sl200UltraV1&ss=vp
9,史上最惨的妲己0杠70,史上最惨的妲己0杠70 #王者荣耀热门 #王者荣耀泉水钩 #钟馗 @快手创作者中心(O40300138) @快手粉条(O40300047) @快手热点(O40300129),#王者荣耀热门 | #王者荣耀泉水钩 | #钟馗,,http://v4-vod.kwaicdn.com/bs3/video-hls/5199405900229253388_fa26c8a60ba6fad6_1268_hlsfk30SlHiHQvG.m3u8?pkey=AAUjJHQM1bBKzFnjoVrTk2MbtElHgw_XpB1vCXfKdB5756f6na90opKZtDm54mkL7ER9zGzb59Pd5tuRXcjsnu2jhMaeqVZaq-gAbJxe2NyPdGLTl3Pj-reQKBkhELPicwk&tt=hlsfk30SlHiHQvG&m3u8ClientCacheKey=6ec9b0226aa36378b7d9d3f813709860&ss=vp
