index,pureTitle,caption,tagList,audioUrl,videoUrl
0,这首歌巴基斯坦人和中国人 中巴友谊万岁 ,大家好我是阿里来自巴基斯坦谢谢你们的支持   这首歌巴基斯坦人和中国人 一起唱的 这个才出来的希望老铁们分享你们的朋友们 了解更多的 中巴友谊万岁 一起加油    #外国视频 #中巴友谊,#外国视频 | #中巴友谊,http://ali2.a.yximgs.com/bs2/ost/NTAxOTI3MDUzNDNfMzQ0NzI0NjY2.m4a,http://v5.oskwai.com/ksc2/AHRfBwTIJlrB9gwrGRcMp6_i8SFITiKmGrQR0DIeDYihyUDTwafyoTh8D7dDPo0QamFTBTCoDU3oEirkPd1E0a4Ym9_4YaJvBwfh1z7Vg1SqsZZNGpEmBFUCxxuWzBF1qfhAsYfZZ6Kvey_g_EsgC1g3DAddP7mKSgtkTvoP9QUf9us7rk-ZnTWFaPVms6Sm.mp4?pkey=AAVDov8Qb5DQyO_kUd8bqxVv-DE6KUe4bUrhi1a9mSwIeaoVm4QTaaimQ5tRGqQ-KyuKcY93SMQFAxkiFfSWiqOaQX30pdzS161gH-sVUV2NKVyoq8sM4GqfDLpaPs8Pzl4&tag=1-1732283106-scn-0-gf6d5qqosn-fa31b088f8df6399&clientCacheKey=3x5z8yyx3aiq7pi_swft.mp4&di=6766caa1&bp=10121&tt=swft&ss=vp
1,#歌曲远山少年 中巴友谊 #巴铁友谊 #巴基斯坦 ,#歌曲远山少年 中巴友谊 #巴铁友谊 #巴基斯坦,#歌曲远山少年 | #巴铁友谊 | #巴基斯坦,,http://v5.oskwai.com/ksc2/jdOzftH2DZz2TgqdkJW5_XQVaQDqjberMBp9PACRm2j_5xtU2Z7nlpYXByjPxQAzK_yB-IQY6PqIAPgdB2bYCvScaAREIXp6Tg3iI44CAk7iTtbL9ZN0bDrFvJa7Dv4r.mp4?pkey=AAXRwpa_e-mMrEtGjoXAHOkAYyuSGjRcWBrhsAwnn62SL9nlknN3mKmEbvqpIEK68aU1pyD5U939FL-xoJXvrKGEHzlbthl_YpuR4dvy2vf2yYjp3UHNtyEn4UY_rdzmlHk&tag=1-1732283106-scn-0-nh5jvwktyo-08a4515637787963&clientCacheKey=3xycfadxvcutc7g_32b96312&di=6766caa1&bp=10121&tt=v6UltraHQvG&ss=vp
2,巴西歌手演唱《茉莉花》 为中巴友谊送祝福,巴西歌手演唱《茉莉花》 为中巴友谊送祝福,,,http://v5.oskwai.com/ksc2/xchO9QOLo6mv2JxZPTpA8YJFLMvt9OqzwZ2dSDkdklg-3F52g1GQo30eGi8c2tsYWiGTOxzn67EOSZiQhkmGP6frMnBXOX6dSBiTTexP_K-xixstjZusz4RTwzvKCXtH.mp4?pkey=AAXVcilOr8S37iM9go84ZdW2yqvK9dFxwdH5ftMS06DBK6SlPV9skvN2Gwcyt79yLlTsD18PLuEgxVCcutP0NBlt8oTEMsqsf7kHOf9bF-6kZPk76IWiK3ZVyh9Nzwk6Cyg&tag=1-1732283106-scn-0-ayfbadmovv-4f592bd346c5fc8a&clientCacheKey=3xq2ghb66ay5ysk_b0f141ed&di=6766caa1&bp=10121&tt=v6HighHQv8&ss=vp
3,"歌曲《Together》（与你同在）
#北京战疫人人参与
#北京战疫全力以赴
#对抗疫情我们在行动","歌曲《Together》（与你同在）
#北京战疫人人参与 #北京战疫全力以赴 #对抗疫情我们在行动",#北京战疫人人参与 | #北京战疫全力以赴 | #对抗疫情我们在行动,,http://v5.oskwai.com/ksc2/-rNWZka-45T_DzijpCTl3Qs3omLTYs8YYp10U1PA3wY_G-RT_MpVy9KRBFNwyVvuWTpJoM8hJZOeA5HfTYO0z9V3Izq08pdfJpKtiTwIjkfcIEiVbNlJrJJ_loq-jDIZcw0eeg39ttyWVUgZ_rwT5OXhyJhvi3aCGECuvLNp-90ZtR3545BNjAMVK5yeLVE0.mp4?pkey=AAWptJzGWkas1OEiSFBvGyJh-YjLagM4XBerK6Q-5rxpH1GQBnrEbyi29p5EXICmLFByAbnxA5ogUvhUFLVoSjYnW6uzEOXDpukFZbSTlnbprspnzS7NUWh-w_hwXle37Ns&tag=1-1732283122-scn-0-ykgrbpiqzq-d19f451c9700394d&clientCacheKey=3xwewszh5bkbqi4_swft.mp4&di=6766caa1&bp=10121&tt=swft&ss=vp
4,伴随着友谊地久天长的歌声，将奥林匹克精神和中国人民的友谊送到世界各个角落。友谊地久天长，场内气氛依旧热烈。北京冬残奥会，我们再见，再见。,闭幕式告别时刻，鸟巢唱响《友谊地久天长》#北京2022年冬奥会,#北京2022年冬奥会,http://hw.a.yximgs.com/bs2/ost/NjgwNTI2NTQ4NjNfMTk0MTc5MTczMQ.m4a,http://v5.oskwai.com/ksc2/MnLell5sUUQxIjMPmj3MH1pohQEpfEB5uJcxkAHrz9y9nuV4EVfpZsr2CtcrK2ubYYPQLolhpk8GyLtZvB1DH3ATXuQtIah8xPewOab2WFqEK-qkXC2aVdDevBD1sbS3yOFF69VrgOcQaJ2UyZDIYWk3XiUDmob_LlqbawEbwXrzRO4wfWX2iyU649aEzgAt.mp4?pkey=AAV7Rth6trf7D3a00cHPC93k6jtVFp2pNMxx35-hoB8Y_EycltMgr_tC4fIYHeR8UMKvU3FW8zCV58738Ht8BfhY4uI4VIVDPrO9DAMZPxj3yc1f731wq3LNgwgwsjj32QM&tag=1-1732283122-scn-0-jmp7j8gtsi-40c60fb1c6ac528f&clientCacheKey=3xzaj7bg7huhhcs_vnus.mp4&di=6766caa1&bp=10121&tt=vnus&ss=vp
5,到底是我们的兵哥哥还是巴铁神曲 #音乐 #兵哥哥,到底是我们的兵哥哥还是巴铁神曲 #音乐  #兵哥哥 @我要上热门(O1907752910) @快手热点(O40300129) @快手创作者中心(O40300138),#音乐 | #兵哥哥,http://hw.a.yximgs.com/bs2/ost/OTY0MDYxOTU4MjdfMjM2Mjg4ODcwMw.m4a,http://v5.oskwai.com/ksc2/Wx9AQsYUjdqABAJbCtcHPR26n1dIo6jCNbVxuaLC90AssuCuLZNSA1m55i6LScnriAwY1q0QQNIq8IOU3JDdisWiUghUquPUARHe9jzvzLy22xFHyX287IAsxtPF40kbG2xwNHg6KENeGfbcO2L0HHMVEaq4_36eS-Z4Wk9CI_mSdW4zVFYjvMYeFRfLzIlg.mp4?pkey=AAWYyaVjqJVBaQvbG4yjRXoKyOHX4TKvCp930vSeGIZF5HeDWEwfp-udkmEuwDTltEHEGw-dU4IPbDzpE62eMzEhhStaKjORVr5RrS0p1XqpGfYy-PU3orHcdk1C7op3QR0&tag=1-1732283122-scn-0-5cyhjhurlq-4f83309d5803abda&clientCacheKey=3xea7rvf3esphcq_vnush3.mp4&di=6766caa1&bp=10121&tt=vnush3&ss=vp
6,#回顾印巴影视歌曲,#回顾印巴影视歌曲,#回顾印巴影视歌曲,http://ali2.a.yximgs.com/bs2/ost/ODQ4OTI5MTQwNDlfMTM3Njk5MDAyNQ.m4a,http://v5-ot-vod.kwaicdn.com/bs3/video-hls/5251197248569050287_hlsb.m3u8?pkey=AAU9DaKoXbhoTIGqwOkjca_TEk78vro8KYnrG-JCm_0_nR6XSZ2ro6ukG9kWmawuKqmENQF46sLw80Xpcj75sS9lF_ASGdwSNwgTRvB6Cur67bu8CbkD7s9HNquaMG31WlI&tt=hlsb&m3u8ClientCacheKey=4bae85429662296e0dbcc7c8012d6f06&ss=vp
7,我希望你永远快乐！我们的友谊地久天长～,我的朋友，我希望你永远快乐！我们的友谊地久天长～,,http://hw.a.yximgs.com/bs2/ost/MTMyODc4OTI3MjcxXzg4MjI3OTEyOA.m4a,http://v5.oskwai.com/ksc2/kFWujFGCcROWBNHu-roeUHJnn9L8t84VWL3s1__ZBAhXixTIpnIMulBuFhDwTOi9RMGOMVEcR1JLurABmkZLhK9HDqJiS7adZSPHPaRcMcXdHDEt29mPMn_W3iTPWapbNf5zsxXtDk7qQu9dEYQ6XQ.mp4?pkey=AAVUPaSGi6D1luSEEqpab_Z_thdOA5gP2fzKUkkwJLesc6hylf-kN4l_3kTHjacfk1vftngg0bcmkjJQ0SjcOEdTQ61TUBsbV0aIcu38hmsYoWlW3VkskHrr0xyZKeIgoqw&tag=1-1732283115-scn-0-7fmtyqnj7w-c856dcfd9479b460&clientCacheKey=3xxrbgfkecdb2kg_6efc17da&di=6766caa1&bp=10121&tt=v6UltraHQv7&ss=vp
8,一首诚意满满的原创歌曲《中法友谊在武汉》。   ,一首诚意满满的原创歌曲《中法友谊在武汉》。@武汉大学(O792347603)  @中国交建(O1152071856),,,http://v5.oskwai.com/ksc2/Eo8SBg-WMR3bQ62CWU1DbplR987PBhHSp3KnoIpS3sAcFfph4gl3eiRUznSKj2WpiQscdHHGnvEv_Pc2FFRaghfmdzZgCj12noYr9x0LfpFgslyDcL31Y89wUBu1aCErV4fqQlMorCTyzykpHlvrehE9C4PMrdIcjZoXoUFIDq0RA2NcRqthKst5AqDHifxC.mp4?pkey=AAWBK2mkRCOVOq9U8vODOQNnqn2VdLTyN6U3mAe8xNFtSayUO6x_jHZfPWAv5oZJNohujZ1RZleeGeQ7EtOCUmbtA4qjEs-oG4BCWPgALKFREBRRRNfyegjQfx2lTshPYbY&tag=1-1732283115-scn-0-yrencyuayb-df5ab6ffabdee2f9&clientCacheKey=3xuw22hiahxj3iq_b.mp4&di=6766caa1&bp=10121&tt=b&ss=vp
9,中巴友谊万岁！#中巴友谊长存 #歌曲所思在远道 ,中巴友谊万岁！ #中巴 #中巴友谊 #中巴友谊长存 #歌曲所思在远道,#中巴 | #中巴友谊 | #中巴友谊长存 | #歌曲所思在远道,http://hw.a.yximgs.com/bs2/ost/MTQzOTkzNzk5MzI2XzQxMTA3MTgzNDc.m4a,http://v5.oskwai.com/ksc2/8C4rIwl-SpDHV5ih3bun-n3DqxwUQnVkCXkd_S-HC5mCQDKBh9JeSlPwugrGjpImSE-vXtqnvhTUm_SSMir94q8X3j2Iv8WwKzHyZ_NWLjaSF7tE-Z3Iq8bW9i12ZV_3Als636TO_nGrn8Qu76bbnrB9zNNVOzue3950Vcn3Gavs12OzTWQFeIctEswJjZbX.mp4?pkey=AAUGTvmOnhEc1EMeyPgrHAA9Ndh3DoS912Q4tr9zggqjtjZK2CzxFNDMeANq9k9kSrP6Jn1xphparSKy1xHbrUK5W8UqAjjboBxQPjzjIizxWlqZ4M0a0rXdhwZ1W8QpW0E&tag=1-1732283115-scn-0-wrjsvn25y5-50cb1e7588ba86eb&clientCacheKey=3xb43jhmzc55nfs_b.mp4&di=6766caa1&bp=10121&tt=b&ss=vp
