index,pureTitle,caption,tagList,audioUrl,videoUrl
0,卫生巾持续塌房，真的细思极恐,卫生巾持续塌房，真的细思极恐 #卫生巾 #卫生巾塌房  #卫生巾塌房标准 ,#卫生巾 | #卫生巾塌房 | #卫生巾塌房标准,http://ali2.a.yximgs.com/bs2/ost/MTQ5MjUzMjc5MTIzXzIzNTUwMDkwMTg.m4a,http://v5.oskwai.com/ksc2/XZAniQDGrT6jYNEDvCiZCF3k3kMfNXAPrZ7yodT2SmJxUhzKpQJUDNIYzLPYFgZU16BySLeOEKipFIH3D4FNfnUmfpMTDSrcadhmwmfNZRL8fKkdegVN28qmFMn74d-p.mp4?pkey=AAX3Kujt6wHzINkWkz0C63FXnU_2pBlweS_YdHqlG2MLrlEo83rvYUdboORIMnXf75P8leEw-zSK7cJzvNUYoNdpakIejKXpXjsEURWuO4tIVMArxmVgUaeM0MqbQzYy24I&tag=1-1732282814-scn-0-kvuazi6xns-8862435b8a6eedbb&clientCacheKey=3xj4fnmhv8guq2k_13245fd6&di=6766caa1&bp=10121&tt=v6HighV5&ss=vp
1,卫生巾集体塌房了！女性的健康谁来守护？,卫生巾集体塌房了！女性的健康谁来守护？ @快手主持人(O40300120) @快手热点(O40300129) @快手粉条(O40300047) #主持人民生观察团 #夏日言值对决 #卫生巾塌房,#主持人民生观察团 | #夏日言值对决 | #卫生巾塌房,http://ali2.a.yximgs.com/bs2/ost/MTQ5MjUyMzg2MjYxXzE4MDA4NTEzNjg.m4a,http://v5.oskwai.com/ksc2/gfn_0AtEG22WZofeNnLew8lIoZsS9mZ2Y9_mm7FkdqbN7loz-r3VY-L9lMLljNg8vSgf2z4bHjk-vy78bB9in0ma2kwmtp_KXAbPCir3CXj1t3ALDa8dXQysJKxUNdjv.mp4?pkey=AAUeNDcMEiNNT1nviiv6FQKCay50ID6tNNsr36KjbmNFBiI499siNjx8lFV8OEjoKz7fjGWH2GqLbMaddrysujfQbM4aOpCE-VhjiGguM0TPTlr4-dy1k9KbvGzy0-qBFdY&tag=1-1732282823-scn-0-iyuo89onq1-2840cad0269281a5&clientCacheKey=3xfxxwzv6ya4vqk_c464723c&di=6766caa1&bp=10121&tt=sl200UltraV1&ss=vp
2,建议这样解决卫生巾安全问题#妇科医生教你如何选择卫生巾 ,建议这样解决卫生巾安全问题#妇科医生教你如何选择卫生巾 #卫生巾 #卫生巾质量问题 #质量安全,#妇科医生教你如何选择卫生巾 | #卫生巾 | #卫生巾质量问题 | #质量安全,http://hw.a.yximgs.com/bs2/ost/MTQ5MjAyNDE5OTY2XzgyMTk1NjE3NQ.m4a,http://v5.oskwai.com/ksc2/pLcR1CNdQF20IOV0P9Qq0Yh3Mi9B2Hu9xjnkUcKNV_pHmB5HDQnJ3P4eGPEhg5Idsd6TwlZckk1i27nlnlqwCFWl1ky6pgKcJAzCali2fxZWsWmIFWiwEON7WKwOvE3Z.mp4?pkey=AAWAxXok1FxfGOT2L3SY2CQNoesBIjM8EtIzTssbpGu6LMaBvOVMP8Mxh5PjP3qQFJTJLS-72296C9Hu8sa_g7WORNKqgPSOwbqkz-SXvsYFzZsWpPkOCDRmOb5fYtVWbv0&tag=1-1732282823-scn-0-vudh27vlf8-1c1bab8e9b2e3a54&clientCacheKey=3xih65pchy549vq_1992208f&di=6766caa1&bp=10121&tt=sl200UltraV1&ss=vp
3,女性用品应该被认真对待#卫生巾 ,地球上大约一半的人都会经历#月经，女性用品应该被认真对待#卫生巾 #女性用品,#月经，女性用品应该被认真对待#卫生巾 | #女性用品,http://ali2.a.yximgs.com/bs2/ost/MTQ5MjcwOTYwNDMzXzIzNzEzNTI5MjQ.m4a,http://v5.oskwai.com/ksc2/K7C_JwlyFS9OKhsaLT6iLURAgWaWSgazAqoYr4wpfUdqQr98Qcg7MMNtcRD-mVuv5RgMe9XPZezv8qTR9gJbGzlFsgAfEsiuSO_Wr-D6Ai2CPU--8zEQAxnl4HotjxOd.mp4?pkey=AAVPDENa-iOTFrTon1i4IicRUVhYY7mP52fGW8TDXQaf9INQAl91VKVfJRdkBN5wPZDuobfJHGKH6DE2BJYzu2LkMKxTOReRzHhsyIzswfvrutGDBfDhXkDS5TN8xeFasOo&tag=1-1732282823-scn-0-gkjdtx7pq5-e62ad3a30f2a3484&clientCacheKey=3x7x2znzrzt287a_aff9b34c&di=6766caa1&bp=10121&tt=sl200UltraV1&ss=vp
4,卫生巾塌房了呼吁关注女性健康,卫生巾塌房了呼吁关注女性健康 #卫生巾事件,#卫生巾事件,http://ali2.a.yximgs.com/bs2/ost/MTQ5MTYxNDY5MTM0XzE3OTkxMTIwODg.m4a,http://v5.oskwai.com/ksc2/xPbMLANHL40EMACeyd8Ivq_q-cgTTsJ-KGb466XUmGbjNUqqJqsY1rixpqPvrovp1uCXgrCzBOXbuCd-ck8fwB6aDyQ4Hx1e5hXvo18CB858JX4oA_TZkUVhOGDwy_xO.mp4?pkey=AAXhvKN75SKTHv5lTDSWE2to8JY61X17HzW7hshqi3S0H6P-HeYhvDi8-7kQe-_OtxQj8onGkxif2Y5zyWBHlV4TkxsA1y_kkTHxN4RBVeYPdakEsUe8PywHeGeqcIZNjsA&tag=1-1732282823-scn-0-h02q5yvtp4-56a10e1e545645d1&clientCacheKey=3x8qehe9vv8dz49_2db84db9&di=6766caa1&bp=10121&tt=sl200UltraV1&ss=vp
5,#卫生巾 #姨妈巾 #塌房 #娱乐评价大赏 ,#卫生巾 #姨妈巾 #塌房 #娱乐评价大赏,#卫生巾 | #姨妈巾 | #塌房 | #娱乐评价大赏,http://ali2.a.yximgs.com/bs2/ost/MTQ5MDQwNTIxMTg5XzU3NDkyNTc3Mg.m4a,http://v5.oskwai.com/ksc2/XvwMOQlrpmwk6BL88JaV-QdHconab1zrBRfERZxAKbwaP5yOS39O0YCEbR99k7JIgRwNi85Q5WzLWHjki2d9z9-V71v3uKULKWMhqa_hV9J609X67sBjxISL1ifEZ8dN.mp4?pkey=AAX1kMFXurDsxIRxGcq48k-HUPCh1b9ZpY1vEW-pxWyXte-pQSmMiXBTpKEqMS9st_lKCVFDmghPvAvMqXOmUUheR_eBgUrarLnHg101Xj6ldswjoh8P0cJ2c459vftzl14&tag=1-1732282823-scn-0-b6x71ca6vn-22f05245ff133680&clientCacheKey=3x4egcauqem8jjk_77baa211&di=6766caa1&bp=10121&tt=sl200UltraV1&ss=vp
6,女人一定要对自己好一些 #姨妈巾 #卫生巾 ,女人一定要对自己好一些 #姨妈巾 #卫生巾,#姨妈巾 | #卫生巾,http://ali2.a.yximgs.com/bs2/ost/MTE4Mjc3NDkyMTE4XzE3NDg3NTU0OTE.m4a,http://v5.oskwai.com/ksc2/wbbYKhgyHDL_P_UA8LrgtydQkXtVaJdMX8DtAC_Mf9alUj6YT08iKaaUyhvfluj8fR0n5SkwZdWxjE03OGYzyu7R1A9xJrGPG7PzLzMQvzfebwISCmR5r-xuc1EuXcaDY7O0lBTfjAPbJk_vkGv_c7MZ_3NlsrXGV3OxDwxEa9xQpNRljrjBCfiO2Fi-gZsF.mp4?pkey=AAVThlnvqPHS2B_KAqtMJZkK_yEUi1AhWfkNWkul4rxAXwAYWwnnABNOTvm2hUqEM2G7qCCoW43LxA3Vyp1Nj-wkpgan_5NTaq1ys6YvfXT7LVIgrgxx9PlaPSwg7aapVr8&tag=1-1732282822-scn-0-epcojoreqn-9898a299f7dddcb0&clientCacheKey=3x4ngpcdtbhmtja_b.mp4&di=6766caa1&bp=10121&tt=b&ss=vp
7,卫生间巾黑心棉、虫卵，我真的要崩了！！！,卫生间巾黑心棉、虫卵，我真的要崩了！！！ #卫生巾 #黑心棉 #卫生巾推荐,#卫生巾 | #黑心棉 | #卫生巾推荐,http://ali2.a.yximgs.com/bs2/ost/MTQ5MjEyNTU5NDYwXzMwNzg1NTk0NQ.m4a,http://v5.oskwai.com/ksc2/wvIGxyw551G7yE1D8sVlJu332lKuV1bEhYJBY2eVzMWeJuDlMXdplg3w_nFyb_SOdZxM-Tmjia9teWa13JrTGRYZDzeUOBx8asm3aeMKVpimECoGYJD93ZoZZS9bV_6U.mp4?pkey=AAXA2NC4klFFp4MjogMkiZ8ApZUHb8IVFrH1nx_F1aBx460bpoJW90TEnV6Ig5P1MoPxwAiwCHFhKE17WxDXMSty4_3Z6y94uDzWHs1ecb5lRiTt9AxJpXWxR4u9nzCgTmM&tag=1-1732282822-scn-0-m2enop7h3z-3e9f207be0737a95&clientCacheKey=3xjs3q6wj3tsbwc_f2fa4eb7&di=6766caa1&bp=10121&tt=sl200UltraV1&ss=vp
8,卫生巾光照变黄就是黑心棉吗？主持人刘心悦带你探寻真相。,卫生巾光照变黄就是黑心棉吗？主持人刘心悦带你探寻真相。,,,http://v5.oskwai.com/ksc2/VzX90WwfldK5FlPbwkI3RbOKqWFtE2FyXXL65HeYOO34iDCEMC6fKn_b-lEJu1AsDjqC23IMOBr2CFGHnpgRL2NlSjiLcS6XTROECJR4Q-kJ4uh7zHrGAFnyGazDCluT.mp4?pkey=AAUV38efIQyR5Of5dnUOi9mG-rfzyg2ObLCrnw79c5rV-_GGetnf6YH0B21Nv6ClZULcXxl67pIFjydD6OU8Xst7jSxDdfY6PS-ijDBXuJlsjNBtD_q5QXYG1liY1xfJpbQ&tag=1-1732282822-scn-0-oqdxjabit2-f91ccb5a0f5ce155&clientCacheKey=3x3gxrqnts3g9z2_431518e2&di=6766caa1&bp=10121&tt=v6UltraHQv8&ss=vp
9,卫生巾“塌房”：女性主义消费的反噬 ,卫生巾“塌房”：女性主义消费的反噬 ,,,http://v5-vod.kwaicdn.com/bs3/video-hls/5231494064047313044_4ba644c4414e4782_8418_hlsfsl200hd15.m3u8?pkey=AAXVOU2MOvhvXrXkcO0EIq0sEIGc9liKXLxpwEkXWq9QQCis9_oFY2LjbEJBqFDLwaJBu82iGyQuwulNGDU1XAok5mFTHN5mM-m_J931_PPcwdrip5OFB2ZUwsEfLA3CvlA&tt=hlsfsl200hd15&m3u8ClientCacheKey=8f9285e745a3f7a9d220be0fe4aa29fe&ss=vp
